GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,AT5AA,AT5AB,AL8AA,AL8AB,AL8AC,AL8AD,AL8AE,AL8AF,AL8AG,AL8AH,AJ6AA,AJ6AB,AJ6AC,AJ6AD,AJ6AE,AJ6AF,AJ6AG,AJ6AH,AJ6AI,AJ6AJ,AJ6AK,AJ6AL,AJ6AM,AJ6AN,AJ6AO,AJ6AP,AJ6AQ,AJ6AR,AJ6AS,AJ6AT,AJ6AU,AJ6AV,AJ6AW,AJ6AX,AJ6AY,AJ6AZ,AJ6BA,AJ6BB,AJ6BC,AJ6BD,AT5AAM,AT5ABM,AL8AAM,AL8ABM,AL8ACM,AL8ADM,AL8AEM,AL8AFM,AL8AGM,AJ6AAM,AJ6ABM,AJ6ACM,AJ6ADM,AJ6AEM,AJ6AFM,AJ6AGM,AJ6AHM,AJ6AIM,AJ6AJM,AJ6AKM,AJ6ALM,AJ6AMM,AJ6ANM,AJ6AOM,AJ6APM,AJ6AQM,AJ6ARM,AJ6ASM,AJ6ATM,AJ6AUM,AJ6AVM,AJ6AWM,AJ6AXM,AJ6AYM,AJ6AZM,AJ6BAM,AJ6BBM,AJ6BCM
"G0100930","1970","Alabama","01","Marion","093","Marion",23759,29,20287,2571,44,605,1771,151,33,863,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100950","1970","Alabama","01","Marshall","095","Marshall",54128,83,46574,5831,299,888,4395,249,115,1590,0,0,5,0,0,0,0,22,0,0,6,5,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,20,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100970","1970","Alabama","01","Mobile","097","Mobile",315744,1564,237060,62494,4958,7926,47244,2366,1142,14703,6,85,10,41,190,32,45,226,42,9,74,35,5,6,14,7,20,0,26,7,0,14,116,7,20,41,51,184,202,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100990","1970","Alabama","01","Monroe","099","Monroe",20854,29,19306,891,54,148,646,43,7,661,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101010","1970","Alabama","01","Montgomery","101","Montgomery",166813,977,126612,31703,3702,5014,20736,2251,1253,7169,13,22,0,10,168,24,66,191,9,0,54,19,0,5,0,0,23,0,3,34,47,39,85,18,6,50,5,29,44,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101030","1970","Alabama","01","Morgan","103","Morgan",77127,170,62111,12502,638,2357,8889,618,149,2359,7,0,0,0,10,0,0,49,0,0,15,10,0,0,0,0,14,6,22,8,0,0,24,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101050","1970","Alabama","01","Perry","105","Perry",15359,29,13690,1117,128,193,741,55,19,528,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101070","1970","Alabama","01","Pickens","107","Pickens",20286,40,18047,1578,61,161,1294,62,24,651,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101090","1970","Alabama","01","Pike","109","Pike",24996,41,21800,2178,132,202,1749,95,57,915,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101110","1970","Alabama","01","Randolph","111","Randolph",18301,30,15601,1578,49,114,1383,32,15,1099,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101130","1970","Alabama","01","Russell","113","Russell",45305,89,34057,9146,406,527,8011,202,186,1904,0,0,0,0,6,7,0,29,0,0,8,7,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101150","1970","Alabama","01","St Clair","115","St Clair",27909,47,24664,2247,168,315,1621,143,23,987,0,0,0,0,15,0,8,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","1970","Alabama","01","Shelby","117","Shelby",37995,42,32413,3705,253,689,2566,197,54,1812,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101190","1970","Alabama","01","Sumter","119","Sumter",16970,4,14479,1674,112,145,1347,70,15,804,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101210","1970","Alabama","01","Talladega","121","Talladega",65148,132,57902,5064,458,794,3612,200,90,2088,0,0,0,0,33,0,0,17,0,0,20,7,0,0,0,0,9,0,0,0,0,0,34,0,0,0,6,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101230","1970","Alabama","01","Tallapoosa","123","Tallapoosa",33825,15,30530,1622,110,172,1284,56,59,1613,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
