"","long","lat","order","hole","piece","group","id"
"101",1750650.9791,468145.1581,101,FALSE,"1","42101000200.1","42101000200"
"102",1750678.5224,468146.1316,102,FALSE,"1","42101000200.1","42101000200"
"103",1750716.2567,468147.3104,103,FALSE,"1","42101000200.1","42101000200"
"104",1750817.9017,468151.7155,104,FALSE,"1","42101000200.1","42101000200"
"105",1750853.9195,468153.2012,105,FALSE,"1","42101000200.1","42101000200"
"106",1750947.3139,468157.261,106,FALSE,"1","42101000200.1","42101000200"
"107",1750964.0908,468161.0012,107,FALSE,"1","42101000200.1","42101000200"
"108",1750988.5971,468167.0387,108,FALSE,"1","42101000200.1","42101000200"
"109",1750997.1433,468169.1736,109,FALSE,"1","42101000200.1","42101000200"
"110",1751002.3256,468170.4437,110,FALSE,"1","42101000200.1","42101000200"
"111",1751037.5729,468182.7793,111,FALSE,"1","42101000200.1","42101000200"
"112",1751046.9348,468186.7033,112,FALSE,"1","42101000200.1","42101000200"
"113",1751073.4652,468197.6695,113,FALSE,"1","42101000200.1","42101000200"
"114",1751103.0113,468206.7825,114,FALSE,"1","42101000200.1","42101000200"
"115",1751120.04,468211.7273,115,FALSE,"1","42101000200.1","42101000200"
"116",1751133.4813,468215.6426,116,FALSE,"1","42101000200.1","42101000200"
"117",1751161.7117,468221.7074,117,FALSE,"1","42101000200.1","42101000200"
"118",1751189.0397,468224.8158,118,FALSE,"1","42101000200.1","42101000200"
"119",1751212.0174,468226.036,119,FALSE,"1","42101000200.1","42101000200"
"120",1751211.5322,468217.3178,120,FALSE,"1","42101000200.1","42101000200"
"121",1751210.7948,468193.3896,121,FALSE,"1","42101000200.1","42101000200"
"122",1751211.922,468187.5565,122,FALSE,"1","42101000200.1","42101000200"
"123",1751219.1766,468093.5453,123,FALSE,"1","42101000200.1","42101000200"
"124",1751219.7897,468063.9488,124,FALSE,"1","42101000200.1","42101000200"
"125",1751222.6836,468004.6681,125,FALSE,"1","42101000200.1","42101000200"
"126",1751269.2283,468007.5843,126,FALSE,"1","42101000200.1","42101000200"
"127",1751275.0343,467905.6731,127,FALSE,"1","42101000200.1","42101000200"
"128",1751278.2764,467849.1106,128,FALSE,"1","42101000200.1","42101000200"
"129",1751281.3435,467792.1645,129,FALSE,"1","42101000200.1","42101000200"
"130",1750291.0217,467738.1044,130,FALSE,"1","42101000300.1","42101000300"
"131",1750285.9599,467738.2392,131,FALSE,"1","42101000300.1","42101000300"
"132",1750280.3536,467738.4822,132,FALSE,"1","42101000300.1","42101000300"
"133",1750141.2965,467729.8814,133,FALSE,"1","42101000300.1","42101000300"
"134",1750010.4557,467723.3431,134,FALSE,"1","42101000300.1","42101000300"
"135",1749871.5548,467714.4374,135,FALSE,"1","42101000300.1","42101000300"
"136",1749736.0862,467706.8726,136,FALSE,"1","42101000300.1","42101000300"
"137",1749602.2177,467698.7482,137,FALSE,"1","42101000300.1","42101000300"
"138",1749460.8127,467691.358,138,FALSE,"1","42101000300.1","42101000300"
"139",1749302.2298,467683.5884,139,FALSE,"1","42101000300.1","42101000300"
"140",1749206.1215,467676.5335,140,FALSE,"1","42101000300.1","42101000300"
"141",1749165.1632,467674.6442,141,FALSE,"1","42101000300.1","42101000300"
"142",1749117.7041,467672.3405,142,FALSE,"1","42101000300.1","42101000300"
"143",1749067.1872,467669.3562,143,FALSE,"1","42101000300.1","42101000300"
"144",1749070.4356,467607.6319,144,FALSE,"1","42101000300.1","42101000300"
"145",1749071.4971,467591.5676,145,FALSE,"1","42101000300.1","42101000300"
"146",1749073.3034,467560.8609,146,FALSE,"1","42101000300.1","42101000300"
"147",1749022.395,467587.2916,147,FALSE,"1","42101000300.1","42101000300"
"148",1748949.3707,467596.1709,148,FALSE,"1","42101000300.1","42101000300"
"149",1748927.0166,467602.6727,149,FALSE,"1","42101000300.1","42101000300"
"150",1748874.0272,467605.338,150,FALSE,"1","42101000300.1","42101000300"
"151",1748912.9025,467613.0756,151,FALSE,"1","42101000300.1","42101000300"
"152",1748927.6386,467616.242,152,FALSE,"1","42101000300.1","42101000300"
"153",1748928.4931,467632.2737,153,FALSE,"1","42101000300.1","42101000300"
"154",1748928.8222,467636.2499,154,FALSE,"1","42101000300.1","42101000300"
"155",1748929.5128,467648.3421,155,FALSE,"1","42101000300.1","42101000300"
"156",1748930.216,467665.8325,156,FALSE,"1","42101000300.1","42101000300"
"157",1748930.6291,467678.7812,157,FALSE,"1","42101000300.1","42101000300"
"158",1748931.0503,467695.9792,158,FALSE,"1","42101000300.1","42101000300"
"159",1748929.9734,467727.3075,159,FALSE,"1","42101000300.1","42101000300"
"160",1748929.0035,467745.688,160,FALSE,"1","42101000300.1","42101000300"
"161",1748924.6485,467779.2709,161,FALSE,"1","42101000300.1","42101000300"
"162",1748924.3902,467780.8206,162,FALSE,"1","42101000300.1","42101000300"
"163",1748922.4248,467795.88,163,FALSE,"1","42101000300.1","42101000300"
"164",1748928.4582,467797.2234,164,FALSE,"1","42101000300.1","42101000300"
"165",1748926.0671,467806.7928,165,FALSE,"1","42101000300.1","42101000300"
"166",1748917.8387,467835.9547,166,FALSE,"1","42101000300.1","42101000300"
